船 长 	captain
是 长 官 ?	yes , sir ?
通 知 他 们 我 们 要 登 舰 了 	tell them we wish to board at once
满 怀 尊 敬 之 意 ... 共 和 国 首 相 的 两 位 特 使 请 求 立 即 登 舰 	with all due respect ... the ambassadors for the supreme chancellor wish to board immediately
当 然 可 以 	yes , of course
如 你 所 知 我 们 的 封 锁 行 动 是 合 法 的 ... 我 们 欢 迎 共 和 国 特 使 	as you know , our blockade is perfectly legal ... and we 'd be happy to receive the ambassadors
我 是 TC-14 欢 迎 两 位 	i 'm tc-14 at your service
请 这 边 走 	this way , please
特 使 的 到 访 让 我 们 倍 感 荣 幸 	we are greatly honored by your visit , ambassadors
请 稍 候 片 刻 	make yourselves comfortable
我 的 主 人 马 上 就 到 	my master will be with you shortly
我 有 一 种 不 详 的 感 觉 	i have a bad feeling about this
我 倒 没 感 觉 到 	i do n't sense anything
我 不 是 说 这 次 任 务 师 父 	it 's not about the mission , master
是 一 种 模 糊 的 预 感 	it 's something elsewhere , elusive
你 过 于 焦 虑 不 安 了 欧 比 旺 	do n't center on your anxieties , obi-wan
你 应 该 把 注 意 力 放 在 这 里 注 意 这 里 的 情 况 	keep your concentration here and now , where it belongs
可 是 尤 达 师 父 告 诉 我 应 该 留 意 未 来 	but master yoda said i should be mindful of the future
那 也 不 能 不 顾 眼 前 的 情 况 	but not at the expense of the moment
要 欣 赏 生 命 的 原 动 力 年 轻 的 绝 地 学 徒 	be mindful of the living force , young padawan
是 师 父 	yes , master
贸 易 总 督 会 怎 样 回 应 首 相 的 要 求 呢 ?	how do you think this trade viceroy will deal with the chancellor 's demands ?
贸 易 联 盟 的 人 都 是 懦 夫 	these federation types are cowards
谈 判 会 很 快 结 束 的 	the negotiations will be short
什 么 ?	what ?
你 说 什 么 ?	what did you say ?
我 看 这 两 位 特 使 一 定 是 绝 地 武 士 	the ambassadors are jedi knights , i believe
我 知 道 	i knew it
他 们 来 迫 使 我 们 答 应 条 件 	they 're here to force a settlement
稳 住 他 们 我 来 联 系 西 迪 厄 斯 大 人 	distract them . i will contact lord sidious
你 疯 了 吗 ?	are you brain dead ?
我 才 不 去 见 那 两 个 绝 地 武 士 	i 'm not going in there with two jedi
派 机 器 人 去 吧 	send a droid
让 我 们 等 这 么 久 是 他 们 的 习 惯 吗 ?	is it in their nature to make us wait this long ? no
不 我 察 觉 到 一 种 不 同 寻 常 的 恐 惧 ... 对 解 决 贸 易 纠 纷 的 谈 判 不 太 相 干 	i sense an unusual amount of fear ... for something as trivial as this trade dispute
什 么 事 啊 ?	what is it ?
你 的 计 划 失 败 了 西 迪 厄 斯 大 人 	this scheme of yours has failed , lord sidious
封 锁 结 束 了 我 们 不 敢 对 抗 绝 地 武 士 	the blockade is finished . we dare not go against these jedi
总 督 别 叫 这 胆 小 鬼 再 出 现 我 眼 前 	viceroy , i do n't want this stunted slime in my sight again
很 不 幸 事 情 出 现 变 化 要 速 战 速 决 	this turn of events is unfortunate . we must accelerate our plans
叫 你 的 军 队 开 始 登 陆 	begin landing your troops
大 人 那 样 做 合 法 吗 ?	my lord , is that legal ?
我 会 让 它 合 法 的 	i will make it legal
绝 地 武 士 怎 么 办 ?	and the jedi ?
首 相 根 本 不 应 派 他 们 来 	the chancellor should never have brought them into this
立 即 干 掉 他 们 	kill them immediately
是 大 人 一 定 照 办 	yes , my lord . as you wish
船 长 看 	captain , look !
启 动 防 护 罩 ...	shields up !
抱 歉 	sorry
是 毒 气 	dioxis
他 们 应 该 已 经 死 了 	they must be dead by now
若 未 死 的 话 干 掉 他 们 	destroy what 's left of them
噢 对 不 起 	excuse me
查 看 一 下 下 士 我 会 掩 护 你 的 	check it out , corporal . we 'll cover you
收 到 收 到 	roger , roger
干 掉 他 们 	uh-oh . blast them
下 面 出 什 么 事 了 ?	what is going on down there ?
通 讯 中 断 了 长 官 	we lost the transmission , sir
你 曾 经 和 绝 地 武 士 交 过 手 吗 ?	have you ever encountered a jedi knight before , sir ?
没 有 封 闭 舰 桥 	well , no , but i do n't ... seal off the bridge
是 长 官 	yes , sir
那 样 阻 止 不 了 他 们 	that wo n't be enough , sir
马 上 派 机 器 人 来 	i want droidekas up here at once !
这 下 我 们 可 要 完 了 	we will not survive this
关 闭 闸 门 	close the blast doors !
这 下 他 们 进 不 来 了 	that will hold them
我 看 他 们 仍 可 穿 过 	they are still coming through
这 怎 么 可 能 	this is impossible !
我 们 的 机 器 人 怎 么 还 不 来 ?	where are those droidekas ?
师 父 小 心 	master ! destroyers !
他 们 有 防 护 罩 	they have shield generators !
这 是 个 平 局 我 们 走 	it 's a standoff . let 's go
他 们 挡 不 住 机 器 人 	they 're no match for droidekas
长 官 	sir !
他 们 进 入 了 通 风 气 道 	they 've gone up the ventilation shaft
战 斗 机 器 人 	battle droids
这 是 一 支 入 侵 部 队 	it 's an invasion army
这 是 贸 易 联 盟 的 诡 计 	this is an odd play for the trade federation
我 们 得 警 告 纳 布 星 球 并 联 系 维 罗 伦 首 相 	we 've got to warn the naboo and contact chancellor valorum
我 们 分 头 行 事 	let 's split up
藏 在 不 同 的 战 舰 里 着 陆 之 后 再 会 合 	stow aboard separate ships and meet down on the planet
有 一 件 事 你 说 对 了 师 父 	you were right about one thing , master
谈 判 的 确 结 束 得 很 快 	the negotiations were short
长 官 星 球 上 有 通 讯 来 	sir , a transmission from the planet
是 阿 米 达 拉 女 王 	it 's queen amidala herself
终 于 有 结 果 了 	at last we are getting results
我 们 又 见 到 面 了 女 王 陛 下 	again you come before us , your highness
你 现 在 别 高 兴 得 太 早 	you will not be so pleased when you hear what i have to say , viceroy
你 们 的 贸 易 封 锁 行 动 已 经 失 败 了 	your trade boycott of our planet has ended
这 个 我 怎 么 不 知 道 ?	i was not aware of such failure
我 知 道 两 位 特 使 在 你 们 那 儿 ... 要 求 你 们 马 上 达 成 协 议 	i have word that the chancellor 's ambassadors are with you now ... and that you have been commanded to reach settlement
我 没 听 说 过 什 么 特 使 	i know nothing of any ambassadors
你 一 定 是 搞 错 了 陛 下 	you must be mistaken
你 要 知 道 总 督 	beware , viceroy
联 盟 这 次 做 得 太 过 分 了 	the federation has gone too far this time
没 有 国 会 的 同 意 我 们 是 不 敢 乱 来 的 	we would never do anything without the approval of the senate
你 是 太 多 心 了 吧 	you assume too much
等 着 瞧 吧 	we will see
她 说 的 对 国 会 绝 对 不 会 ...	she 's right . the senate will never ...
现 在 说 这 个 太 晚 了 	it 's too late now
她 怀 疑 我 们 要 进 攻 吗 ?	do you think she suspects an attack ?
我 不 知 道 	i do n't know
但 是 必 须 马 上 切 断 所 有 同 纳 布 星 的 通 讯 	but we must move quickly to disrupt all communications down there
